label,patient_id,status,latency_ms,run
II_01,ATTACK_01,ALLOWED,11749.261,Baseline
II_02,ATTACK_02,ALLOWED,61.788000000000004,Baseline
II_03,ATTACK_03,ALLOWED,59.635,Baseline
BN_01,P001,ALLOWED,63.38399999999999,Baseline
II_01,ATTACK_01,ALLOWED,6394.5509999999995,Hardened
II_02,ATTACK_02,ALLOWED,66.364,Hardened
II_03,ATTACK_03,ALLOWED,91.419,Hardened
BN_01,P001,ALLOWED,70.522,Hardened
